datum,nummer,alter,geschlecht,geraeteart,fehlerbeschreibung,erfolgreich,
17.01.2015,409,,,CD-Spieler,CD Verklemmt,ja,
17.01.2015,410,,,Fernsehr,Kein Bild,nein,
17.01.2015,411,,,CD-Spieler,schalter nicht wechselbar,nein,
17.01.2015,412,,,Lampe,Dimmer defekt,ja,
17.01.2015,413,,,DVD-Spieler,DVD Verklemmt,ja,
17.01.2015,414,,,LED Lampe,Touchplatine defekt,nein,
17.01.2015,415,,,Fahrrad,Bremse gerissen,ja,
17.01.2015,416,,,Laptop,Startet nicht,nein,
17.01.2015,417,,,CD-Spieler,Fach geht nicht auf,ja,
17.01.2015,418,,,Staubsauger,Katzenhaare entfernt,ja,
17.01.2015,419,,,Kaffeemaschine,Ovalschrauben konnten nicht geöffnet werden,nein,
17.01.2015,420,,,Laptop,Anleitung fehlt,ja,
17.01.2015,421,,,Steckerleiste,Schalter defekt,nein,
17.01.2015,422,,,E-Werkzeug,Schalter defekt,nein,
17.01.2015,423,,,Bildschirm,SNT Defekt,nein,
17.01.2015,424,,,CD-Spieler,,ja,
17.01.2015,425,,,DVD-Spieler,Kurzschluss,nein,
17.01.2015,426,,,Radio,Geht nicht,nein,
17.01.2015,427,,,Staubsauger,Motor defekt,nein,
17.01.2015,428,,,Rechenmaschiene,Antrieb defekt,nein,
17.01.2015,429,,,Zigaretten Spieluhr,auseinander gefallen,ja,
17.01.2015,430,,,Mercedes Schreiben,,ja,
17.01.2015,431,,,Lampe,Gleichrichter defekt,nein,
17.01.2015,432,,,Fernsehr,Hat Streifen,nein,
17.01.2015,433,,,Munddusche,Undicht,nein,
17.01.2015,434,,,TCM Datenbank,,nein,
17.01.2015,435,,,Drucker,Papierstau,nein,
17.01.2015,436,,,Kaffeemaschine,Wasserschaden,ja,
17.01.2015,437,,,Alarmanlage,Kurzschluss,nein,
21.03.2015,438,,,Videorekorder,Auswurf defekt,ja,
21.03.2015,439,,,Kaffeemaschine,Heizelement defekt,ja,
21.03.2015,440,,,Fernsehr,Kondensator,ja,
21.03.2015,441,,,Brotmaschine,,nein,
21.03.2015,442,,,Lampe,Transistor defekt,ja,
21.03.2015,443,,,Kinderspielzeug,Dauerton,ja,
21.03.2015,444,,,Lampe,Dimmer defekt,nein,
21.03.2015,445,,,CD-Spieler,Riemen,ja,
21.03.2015,446,,,Kaffeemaschine,Kalkprogramm beendet nicht,ja,
21.03.2015,447,,,Kassetten Spieler,Riemen,ja,
21.03.2015,448,,,Fernsehr,Farbe fehlt,nein,
21.03.2015,449,,,Föhn,Heizelement defekt,nein,
21.03.2015,450,,,Föhn,Kabel defekt,ja,
21.03.2015,451,,,Verstärker,Sicherung defekt,ja,
21.03.2015,452,,,Steuergerät,Schalter defekt,nein,
21.03.2015,453,,,Staubsauger,Kohlen abgenutzt,nein,
21.03.2015,454,,,Körperwage,Fehler nicht gefunden,nein,
21.03.2015,455,,,Kassetten Spieler,Riemen ,nein,
21.03.2015,456,,,Rassierer,Akku defekt,ja,
21.03.2015,457,,,Fernsehr,Kalte Lötstelle,ja,
21.03.2015,458,,,Kaffeemaschine,Tasten defekt,ja,
21.03.2015,459,,,Verstärker,Wackelkontakt,ja,
21.03.2015,460,,,Plattenspieler,Tonabnehmer defekt,nein,
21.03.2015,461,,,Telefon,Kabel defekt,ja,
21.03.2015,462,,,Fernsehr,Tasten defekt,ja,
21.03.2015,463,,,Staubsauger,Motor defekt,ja,
21.03.2015,464,,,Staubsauger,Filter Verstopft,ja,
21.03.2015,465,,,Fernsehr,Bild zu breit,ja,
21.03.2015,466,,,Radio,Display defekt,nein,
21.03.2015,467,,,CD-Spieler,Tasten defekt,ja,
21.03.2015,468,,,Videorekorder,Kurzschluss,nein,
21.03.2015,469,,,Lampe,kein Schalter,ja,
21.03.2015,470,,,Zahnbürste,IC defekt,nein,
21.03.2015,471,,,Handy,Display defekt,nein,
21.03.2015,472,,,Wage,Kabel lose,ja,
21.03.2015,473,,,Staubsauger,Kein kabel,ja,
21.03.2015,474,,,Lichterkette,Wackelkontakt,ja,
21.03.2015,475,,,Taschenlampe,Schalter defekt,ja,
21.03.2015,476,,,CD-Spieler,Linse dreckig,ja,
21.03.2015,477,,,Küchengerät,Getriebe defekt,nein,
21.03.2015,478,,,Lampe,Leuchtmittel,ja,
30.05.2015,479,,,Nähmaschine,Spule defekt,ja,
30.05.2015,480,,,Projektor,Riemen defekt,ja,
30.05.2015,481,,,Kassetten Spieler,Mechanik verklemmt,ja,
30.05.2015,482,,,Tonbandgerät,Riemen defekt,ja,
30.05.2015,483,,,Kassetten Spieler,Schalter defekt,ja,
30.05.2015,484,,,Verstärker,Spannungsregler defekt,ja,
30.05.2015,485,,,CD-Spieler,Motor defekt,nein,
30.05.2015,486,,,Kaffeemaschine,Heizelement defekt,nein,
30.05.2015,487,,,Toaster,Magnet defekt,nein,
30.05.2015,488,,,Nähmaschine,Nadel bewegt sich nicht,ja,
30.05.2015,489,,,Ladegerät,Trafo defekt,nein,
30.05.2015,490,,,CD-Spieler,Motor defekt,nein,
30.05.2015,491,,,Kamera ,Mechanik defekt,nein,
30.05.2015,492,,,Fahrrad,Kabelzug defekt,ja,
30.05.2015,493,,,Espressomaschine,Entkalkung,ja,
30.05.2015,494,,,Kaffeevollautomat,allgemeine Störunf,nein,
30.05.2015,495,,,Kassetten Spieler,Kein Bild,ja,
30.05.2015,496,,,DVD-Spieler,Schalter defekt,ja,
30.05.2015,497,,,Fernsehr,Kein Bild,nein,
30.05.2015,498,,,Radio,Lautstärkeregler defekt,ja,
30.05.2015,499,,,Videorekorder,Riemen plus weitere Defekte,nein,
30.05.2015,500,,,Verstärker,Sicherung defekt,ja,
30.05.2015,501,,,CD-Spieler,Riemen defekt,ja,
30.05.2015,502,,,Staubsauger,Leitung defekt,ja,
30.05.2015,503,,,Stromsuchgerät,Deuerpiepen,nein,
30.05.2015,504,,,Bügeleisen,Kurzschluss,ja,
30.05.2015,505,,,DVD-Spieler,Platienenfehler,nein,
30.05.2015,506,,,Fernsehr,Kondensator,ja,
30.05.2015,507,,,Kamera ,Mechanik defekt,nein,
30.05.2015,508,,,Uhr,Mechanik defekt,nein,
30.05.2015,509,,,Verstärker,Sicherung defekt,ja,
30.05.2015,510,,,Kassetten Spieler,Mechanik defekt,ja,
30.05.2015,511,,,Drucker,Scannt nicht,nein,
30.05.2015,512,,,Kamera ,,ja,
30.05.2015,513,,,Mixer,Motor defekt,nein,
30.05.2015,514,,,Kassetten Spieler,Kein Bild,nein,
30.05.2015,515,,,Mixer,defekte kohlebürste,nein,
30.05.2015,516,,,Nähmaschine,Niete neu gemacht werden,ja,
30.05.2015,517,,,Fernsehr,Kabelbuchse anlöten,ja,
30.05.2015,518,,,Fernsehr,Kondensator,ja,
30.05.2015,519,,,Kassetten Spieler,Antrieb defekt,nein,
30.05.2015,520,,,Kassetten Spieler,Falsch eingestellt,ja,
30.05.2015,521,,,CD-Spieler,Linse dreckig,ja,
30.05.2015,522,,,Nähmaschine,neu geölt,ja,
30.05.2015,523,,,Fernsehr,,nein,
30.05.2015,524,,,Lampe,Kabel+ fassung defekt,nein,
30.05.2015,525,,,Kassetten Spieler,Schalter und Zahnräder defekt,nein,
30.05.2015,526,,,Mixer,Motor defekt,nein,
30.05.2015,527,,,Mixer,,nein,
30.05.2015,528,,,Mixer,Motor defekt,nein,
30.05.2015,529,,,Winkelschleifer,Entstörkonensator defekt,nein,
30.05.2015,530,,,Fahrrad,Schaltung defekt,ja,
30.05.2015,531,,,Fahrrad,kaputt,ja,
30.05.2015,532,,,Fahrrad,Beleuchtung defekt,ja,
30.05.2015,533,,,Kassetten Spieler,Kein Bild,ja,
30.05.2015,534,,,Kaffeevollautomat,Fehler nicht gefunden,nein,
30.05.2015,535,,,E Spielzeug,,nein,
30.05.2015,536,,,Drucker,Papierstau,nein,
30.05.2015,537,,,Verstärker,Platienenfehler,nein,
30.05.2015,538,,,CD-Spieler,Motor defekt,ja,
30.05.2015,539,,,CD-Spieler,Leaser zu weit weg von CD,nein,
30.05.2015,540,,,Nähmaschine,,nein,
12.06.2015,541,,,Bohrmaschine,,ja,
12.06.2015,542,,,Kabel,,ja,
12.06.2015,543,,,DVD-Spieler,,nein,
18.07.2015,544,,,Radio,,ja,
18.07.2015,545,,,Nähmaschine,,nein,
18.07.2015,546,,,Bohrmaschine,,ja,
18.07.2015,547,,,Kassetten Spieler,,ja,
18.07.2015,548,,,Verstärker,,nein,
18.07.2015,549,,,Radio,,nein,
18.07.2015,550,,,Verstärker,,ja,
18.07.2015,551,,,Camcorder,,nein,
18.07.2015,552,,,Tonbandgerät,,ja,
18.07.2015,553,,,Kaffeemühle,,ja,
18.07.2015,554,,,DVD-Spieler,,ja,
18.07.2015,555,,,Mixer,,ja,
18.07.2015,556,,,Lampe,,ja,
18.07.2015,557,,,Ladegerät,,ja,
18.07.2015,558,,,Laptop,,ja,
18.07.2015,559,,,Staubsauger,,nein,
18.07.2015,560,,,Stromsuchgerät,,nein,
18.07.2015,561,,,CD-Spieler,,ja,
18.07.2015,562,,,Fahrrad,,nein,
18.07.2015,563,,,Staubsauger,,ja,
18.07.2015,564,,,DVD-Spieler,,nein,
18.07.2015,565,,,E-Grill,,ja,
18.07.2015,566,,,Bohrmaschine,,ja,
18.07.2015,567,,,Lampe,,ja,
18.07.2015,568,,,Mixer,,ja,
18.07.2015,569,,,Kassetten Spieler,,ja,
18.07.2015,570,,,Laptop,,nein,
18.07.2015,571,,,Plattenspieler,,ja,
18.07.2015,572,,,Radio,,ja,
18.07.2015,573,,,Verstärker,,ja,
18.07.2015,574,,,CD-Spieler,,ja,
18.07.2015,575,,,Drucker,,ja,
18.07.2015,576,,,Kaffeemaschine,,ja,
18.07.2015,577,,,CD-Spieler,,ja,
18.07.2015,579,,,DVD-Spieler,,ja,
18.07.2015,580,,,Verstärker,,ja,
18.07.2015,581,,,Kaffeevollautomat,,ja,
18.07.2015,582,,,Videorekorder,,ja,
18.07.2015,583,,,CD-Spieler,,ja,
18.07.2015,584,,,Mixer,,ja,
05.09.2015,585,,,Radio,Gleichrichter defekt,ja,
05.09.2015,586,,,Staubsauger,Kabel defekt,ja,
05.09.2015,587,,,Plattenspieler,,nein,
05.09.2015,588,,,CD-Spieler,,nein,
05.09.2015,589,,,Plattenspieler,neuer Verstärker eingebaut,ja,
05.09.2015,590,,,Fernsehr,Platienenfehler,nein,
05.09.2015,591,,,Fernsehr,Transistor defekt,nein,
05.09.2015,592,,,DVD-Spieler,,ja,
05.09.2015,593,,,Plattenspieler,,ja,
05.09.2015,594,,,Verstaerker,,nein,
05.09.2015,595,,,Handy,,ja,
05.09.2015,596,,,Lampe,Kabel defekt,ja,
05.09.2015,597,,,Radio,Trafo defekt,nein,
05.09.2015,598,,,CD-Spieler,,ja,
05.09.2015,599,,,Verstaerker,Schalter defekt,ja,
05.09.2015,600,,,PC,,ja,
05.09.2015,601,,,Kaffeemaschine,Kondensator,ja,
05.09.2015,602,,,Zahnbürste,,nein,
28.11.2015,603,,,uhr,Motor defekt,nein,
28.11.2015,604,,,Reciever,Rellais defekt,ja,
28.11.2015,605,,,Videorekorder,,nein,
28.11.2015,606,,,Tonbandgeraet,Sicherung defekt,ja,
28.11.2015,607,,,Reciever,microcontroller defekt,nein,
28.11.2015,608,,,Verstaerker,Riemen,ja,
28.11.2015,609,,,Kaffeevollautomat,Triac defekt,nein,
28.11.2015,610,,,CD-Spieler,Riemen,ja,
28.11.2015,611,,,Küchengerät,Bauteil bestellt,nein,
28.11.2015,612,,,Taoaster,,nein,
28.11.2015,613,,,Videorekorder,Reimen defekt,nein,
28.11.2015,614,,,Verstaerker,Lautstärkeregler defekt,ja,
28.11.2015,615,,,Kaffeemaschine,Rückschlagventil,ja,
28.11.2015,616,,,Lampe,Wackelkontakt,ja,
28.11.2015,617,,,CD-Spieler,Linse dreckig,ja,
28.11.2015,618,,,Videorekorder,Gereinigt,ja,
28.11.2015,619,,,Beamer,,ja,
28.11.2015,620,,,Lampe,Kabel gebrochen,ja,
28.11.2015,621,,,Videorekorder,,ja,
28.11.2015,622,,,Laptop,Schalter defekt,ja,
28.11.2015,623,,,Faxgeraet,Mechanik defekt,ja,
28.11.2015,624,,,Zeitschaltuhr,Neuen akku eingelötet,ja,
28.11.2015,625,,,Kaffeemaschine,,ja,
28.11.2015,626,,,Videorekorder,Antrieb defekt,nein,
28.11.2015,627,,,Kassetten Spieler,,ja,
28.11.2015,628,,,Radio,Diode getausch,ja,
28.11.2015,629,,,Spielekonsole,,nein,
28.11.2015,630,,,DVD-Spieler,,ja,
28.11.2015,631,,,Lampe,Wackelkontakt,ja,
28.11.2015,632,,,Kassetten Spieler,Bedienfehler,ja,
28.11.2015,633,,,Fernsehr,Wackelkontakt,ja,
28.11.2015,634,,,Fernsehr,Ersatzteil benötigt,nein,
28.11.2015,635,,,Ofen,Heizelement defekt,ja,
28.11.2015,636,,,Bohrmaschine,Motor defekt,nein,
28.11.2015,637,,,Staubsauger,Bedienfehler,ja,
28.11.2015,638,,,Staubsauger,,ja,
28.11.2015,639,,,Lampe,,ja,
28.11.2015,640,,,Kaffeemaschine,,ja,
28.11.2015,641,,,Radio,Sicherung defekt,ja,
28.11.2015,642,,,Messgeraet,,ja,
28.11.2015,643,,,Netzteil,,nein,
28.11.2015,644,,,Spielzeug,Akku defekt,ja,
28.11.2015,645,,,Staubsauger,Wackelkontakt,ja,
28.11.2015,646,,,Navigationsgeraet,,nein,
28.11.2015,647,,,Lampe,Schalter defekt,ja,
28.11.2015,648,,,Bohrmaschine,Akku defekt,ja,
28.11.2015,649,,,Handy,,ja,
28.11.2015,650,,,Staubsauger,Motor defekt,nein,
28.11.2015,651,,,Reciever,,ja,
28.11.2015,652,,,Handy,USB buchse defekt,ja,
28.11.2015,653,,,Kühlbox,,nein,
28.11.2015,654,,,Lampe,Stecker defekt,ja,
28.11.2015,655,,,Lampe,,nein,
28.11.2015,656,,,DVD-Spieler,Laufwerk defekt,nein,
23.01.2016,657,,,Kassetten Spieler,Köpfe defekt,nein,
23.01.2016,658,,,Küchengerät,Schalter defekt,ja,
23.01.2016,659,,,Lampe,defekt,ja,
23.01.2016,660,,,Kamera ,Blitz defekt,ja,
23.01.2016,661,,,Kamera ,Linse dreckig,nein,
23.01.2016,662,,,Staubsauger,dreckig,ja,
23.01.2016,663,,,Verstaerker,kontakt probleme,ja,
23.01.2016,664,,,DVD-Spieler,,nein,
23.01.2016,665,,,Verstaerker,,nein,
23.01.2016,666,,,Radio,Stecker defekt,ja,
23.01.2016,667,,,Brotmaschine,Riemen,ja,
23.01.2016,668,,,Küchengerät,Falsch eingestellt,ja,
23.01.2016,669,,,Nähmaschine,Nadel falsch eingestellt,ja,
23.01.2016,670,,,Mixer,Temperaturschalter defekt,ja,
23.01.2016,671,,,Toaster,,nein,
23.01.2016,672,,,Plattenspieler,Andrückrolle abgenutzt,ja,
23.01.2016,673,,,Videorekorder,,nein,
23.01.2016,674,,,Lampe,Leitung defekt,ja,
23.01.2016,675,,,Verstaerker,Sicherung defekt,ja,
23.01.2016,676,,,Funkgerät,Akku defekt,ja,
23.01.2016,677,,,Kaffeemaschine,,ja,
23.01.2016,678,,,Bügeleisen,,ja,
23.01.2016,679,,,Ladegerät,,ja,
23.01.2016,680,,,Fernsehr,,ja,
23.01.2016,681,,,Gartengerät,,nein,
23.01.2016,682,,,Kaffeemaschine,,ja,
23.01.2016,683,,,Videorekorder,Federdefekt,ja,
23.01.2016,684,,,Notebook,,nein,
19.03.2016,685,,,Eieruhr,Federdefekt,nein,
19.03.2016,686,,,CD-Spieler,Linse dreckig,ja,
19.03.2016,687,,,E-Werkzeug,Trafo defekt,nein,
19.03.2016,688,,,Fahrrad,,ja,
19.03.2016,689,,,Videorekorder,Köpfe verdreckt,ja,
19.03.2016,690,,,Toaster,,ja,
19.03.2016,691,,,Lampe,Fassung defekt,ja,
19.03.2016,692,,,Radio,Wackelkontakt,ja,
19.03.2016,693,,,Verstaerker,Trafo defekt,ja,
19.03.2016,694,,,Notebook,Geht nicht,nein,
19.03.2016,695,,,Haartrockner,Heizelement defekt,ja,
19.03.2016,696,,,Lampe,Fassung defekt,ja,
19.03.2016,697,,,Radio,Tasten defekt,nein,
19.03.2016,698,,,Verstaerker,dreckig,ja,
19.03.2016,699,,,uhr,Wackelkontakt,ja,
19.03.2016,700,,,Kuechenmaschine,Bedienfehler,ja,
19.03.2016,701,,,Kaffeemaschine,Konstruktionsfehler,nein,
19.03.2016,702,,,Lampe,,ja,
19.03.2016,703,,,Schreibmaschine,Feder defekt,ja,
19.03.2016,704,,,Videorekorder,,nein,
19.03.2016,705,,,E-Werkzeug,kein fehler,ja,
19.03.2016,706,,,Nähmaschine,Kondensator,ja,
19.03.2016,707,,,CD-Spieler,,nein,
19.03.2016,708,,,Notebook,geht  nicht,ja,
19.03.2016,709,,,Kamera ,Akku defekt,ja,
19.03.2016,710,,,Kuechenmaschine,Lagerschaden,ja,
19.03.2016,711,,,Staubsauger,Geht nicht,ja,
19.03.2016,712,,,Heizplatte,Sicherung fliegt raus,nein,
19.03.2016,713,,,E Spielzeug,Akku defekt,ja,
19.03.2016,714,,,Buegeleisen,Geht nicht,ja,
19.03.2016,715,,,Videorekorder,,nein,
19.03.2016,716,,,Wasserkocher,Wackelkontakt,ja,
19.03.2016,717,,,CD-Spieler,,ja,
19.03.2016,718,,,E-Grill,Erdschluss,nein,
19.03.2016,719,,,Notebook,Wackelkontakt,ja,
19.03.2016,720,,,Kassetten Spieler,Rauscht,ja,
19.03.2016,721,,,Receiver,Kabel abgefallen,ja,
19.03.2016,722,,,CD-Spieler,Antrieb defekt,ja,
19.03.2016,723,,,Wasserkocher,Wackelkontakt,ja,
19.03.2016,724,,,PC,Schalter defekt,ja,
19.03.2016,725,,,Radio,Batterien ausgelaufen,ja,
19.03.2016,726,,,Naehmaschine,Schalter defekt,ja,
19.03.2016,727,,,Staubsauger,Wackelkontakt,ja,
19.03.2016,728,,,Lampe,Schalter defekt,ja,
19.03.2016,729,,,Fernseher,Netzteil defekt,nein,
19.03.2016,730,,,Fahrrad,Reifen platt,ja,
19.03.2016,731,,,Drucker,Einzugsrolle,nein,
19.03.2016,732,,,Lampe,,ja,
19.03.2016,733,,,Drucker,Geht nicht,nein,
19.03.2016,734,,,Fernseher,Netzteil defekt,ja,
19.03.2016,735,,,Handy,USB-Buchse defekt,nein,
19.03.2016,736,,,Kaffeemaschine,Undicht,nein,
19.03.2016,737,,,Lampe,Schalter defekt,nein,
19.03.2016,738,,,CD-Spieler,Linse dreckig,ja,
19.03.2016,739,,,CD-Spieler,Linse blind,nein,
19.03.2016,740,,,Fahrrad,Bremse gerissen,ja,
19.03.2016,741,,,Schallplattenspieler,Aufhaengung defekt,ja,
19.03.2016,742,,,CD-Spieler,Linse blind,nein,
19.03.2016,743,,,Verstaerker,,ja,
19.03.2016,744,,,Notebook,Wackelkontakt,ja,
19.03.2016,745,,,Drucker,,nein,
19.03.2016,746,,,Wasserkocher,Relais defekt,nein,
21.05.2016,747,,,Filmprojektor,Kondensator,ja,
21.05.2016,748,,,Videorekorder,Mechanik defekt,nein,
21.05.2016,749,,,Kassetten Spieler,Mechanik defekt,nein,
21.05.2016,750,, ,Receiver,Empfänger defekt,nein,
21.05.2016,751,,,Lampe,Platienenfehler,nein,
21.05.2016,752,,,E-Fahrrad,Motor defekt,nein,
21.05.2016,753,,,DVD-Spieler,Beratung,ja,
21.05.2016,754,,,PC,Software neu installiert,nein,
21.05.2016,755,,,Föhn,Wackelkontakt,ja,
21.05.2016,756,,,Laptop,Luefter gereinigt,ja,
21.05.2016,757,,,Lampe,Leuchtmittel,ja,
21.05.2016,758,,,Naehmaschine,Mechanik defekt,nein,
21.05.2016,759,,,Laptop,Lagerschaden,nein,
21.05.2016,760,,,Fernseher,,nein,
21.05.2016,761,,,Staubsauger,Kohlen abgenutzt,nein,
21.05.2016,762,,,Fahrrad,Lampe,ja,
21.05.2016,763,,,Drucker,Mechanik defekt,nein,
21.05.2016,764,,,Lampe,,nein,
21.05.2016,765,,,Kaffeemaschine,Mahlwerk verdreckt,ja,
21.05.2016,766,,,CD-Spieler,Transistor defekt,ja,
21.05.2016,767,,,Lampe,Wasserschaden,nein,
21.05.2016,768,,,Naehmaschine,Mechanik defekt,ja,
21.05.2016,769,,,Laptop,Netzteil defekt,ja,
21.05.2016,770,,,CD-Spieler,neu geölt,ja,
21.05.2016,771,,,Hifi,,nein,
21.05.2016,772,,,Keyboard,Kabel defekt,ja,
21.05.2016,773,,,Wasserkocher,Heizelement defekt,nein,
21.05.2016,774,,,Kassetten Spieler,Bandsalat,ja,
21.05.2016,775,,,DVD-Spieler,Display beleuchtung ,nein,
21.05.2016,776,,,Drucker,Papiereinzug defekt,ja,
21.05.2016,777,,,Radio,Kabel defekt,ja,
21.05.2016,778,,,Stereoanlage,Lautsprecher defekt,ja,
21.05.2016,779,,,Rucksack,Naht repariert,ja,
21.05.2016,780,,,Verstaerker,,ja,
23.07.2016,781,,,Kassetten Spieler,Riemen,ja,
23.07.2016,782,,,Fernseher,,nein,
23.07.2016,783,,,Kassetten Spieler,Kabel abgefallen,ja,
23.07.2016,784,,,DVD-Spieler,Abgebrochenes Teil,nein,
23.07.2016,785,,,Heizgeraet,,ja,
23.07.2016,786,,,Naehmaschine,,ja,
23.07.2016,787,,,Radio,Rauscht,nein,
23.07.2016,788,,,Naehmaschine,Fusspedal defekt,ja,
23.07.2016,789,,,Tonbandgeraet,Lautsprecher defekt,ja,
23.07.2016,790,,,Drucker,Papiereinzug defekt,ja,
23.07.2016,791,,,CD-Spieler,Loetstelle defekt,ja,
23.07.2016,792,,,Handy,Schalter defekt,ja,
23.07.2016,793,,,Radio,Kein empfang,ja,
23.07.2016,794,,,CD-Spieler,Linse dreckig,ja,
23.07.2016,795,,,Lampe,Kurzschluss,ja,
23.07.2016,796,,,Notebook,Netzbuchse defekt,ja,
23.07.2016,797,,,Kuechengeraet,Getriebe defekt,nein,
23.07.2016,798,,,Heckenschaere,Motor defekt,nein,
23.07.2016,799,,,Spielekonsole,CD Laufwerk defekt,nein,
23.07.2016,800,,,Kassetten Spieler,,nein,
23.07.2016,801,,,Bluse,Aermel gekuerzt,ja,
23.07.2016,802,,,Radio,Sendereinstellseil defekt,nein,
23.07.2016,803,,,Hose,Tasche kaputt,ja,
23.07.2016,804,,,Lampe,Lampe defekt,nein,
23.07.2016,805,,,Fahrrad,Licht defekt,nein,
23.07.2016,806,,,Radio,,ja,
23.07.2016,807,,,Handy,Ladegerät defekt,ja,
23.07.2016,808,,,Hifi,Trafo defekt,ja,
23.07.2016,809,,,Telefon,Hoerer defekt,ja,
23.07.2016,810,,,Staubsauger,Motor defekt,nein,
23.07.2016,811,,,Kuechenmaschine,Antrieb defekt,nein,
23.07.2016,812,,,Filmprojektor,Kondensator,ja,
23.07.2016,813,,,Fernseher,Steuerung defekt,ja,
23.07.2016,814,,,Kaffeemaschine,Wasserrohr sproede,nein,
23.07.2016,815,,,Notebook,Fehler 440,nein,
23.07.2016,816,,,Gartengeraet,Ladeelektronik defekt,ja,
